id_str;lang;retweet_count;retweeted;text;day;month;year;hashtags;user_mentions;user_name;user_location;user_followers_count;user_friends_count;tweet_coordinates;valeur_dico
1090153316225597441;en;0;True;"The government wants to end the use of coal by 2038. ""Energy companies, labor unions and environmentalists are all… https://t.co/xi2sqgALZ5";29;1;2019;[];[];John Sears;United Kingdom;1315;1336;None;['environment']
1090152767606452224;en;2;True;#severeweather #weathermodelling #climatechange #weatherforecasting Official opening of the Regional Training Works… https://t.co/i3wxvzk5r0;29;1;2019;['severeweather', 'weathermodelling', 'climatechange', 'weatherforecasting'];[];Kenya Met Department;Ngong Road, Nairobi;9938;553;None;['climatechange', 'climat', 'climate']
1090152690938597376;en;0;True;Brace yourself. Not for cold weather, but for the morons claiming it’s cold, so global warming isn’t real.… https://t.co/4YJ9FQLPQX;29;1;2019;[];[];Jodie in SD;san diego;395;1444;None;[]
1090152635368460290;en;5;True;"🌎 

This thread deserves some retweets, including from those white man that read #Drawdown, introduce themselves pr… https://t.co/tA1STQe2tT";29;1;2019;['Drawdown'];[];Alexander Verbeek 🌍;Stockholm;186971;92027;None;[]
1090152603491565568;en;0;True;A great read. I’m really enjoying @comingupcharlie ‘s work #ClimateChange #NewZealand #Environment https://t.co/dskzmoIcMr;29;1;2019;['ClimateChange', 'NewZealand', 'Environment'];['comingupcharlie'];Daniel Collins;New Zealand;60;480;None;['climatechange', 'climat', 'environment', 'climate']
1090152592481624064;en;0;True;Climate change push norwegian coast Orcas to follow hearings 300km more north in 20 years. Watershots.  #orca… https://t.co/Jg2RQ3BHx2;29;1;2019;['orca'];[];Olivier Morin;Paris, France;1233;502;None;['climat', 'climate']
1090151836076699650;en;0;True;"Quotes 

"" We teach best what we most need to learn! That's why you see people giving you tips on HOW TO MAKE MONEY… https://t.co/I8s3JrYiEW";29;1;2019;[];[];The Online Sacco;Kenya;57;27;None;[]
1090151810029912065;en;0;True;The Business Environment Council says there needs to be done to enhance energy efficiency in buildings in Hong Kong… https://t.co/gEF1Hr2Kgi;29;1;2019;[];[];撐香港 SupportHK.org;Hong Kong;641;637;None;['environment']
1090151610465116160;en;2;True;"Why does crisis management ask for facts rather than finding scapegoats?
https://t.co/BV0z52xlXH
#climatechange… https://t.co/UojGlBwSWM";29;1;2019;['climatechange'];[];GlobalClimateChange™;Globally l Planet Earth;54759;53871;None;['climatechange', 'climat', 'climate']
1090151505737314305;en;0;True;Climate Change Is Cooking Salmon in the Pacific Northwest https://t.co/9Q7y9po21r #ClimateChange #fisheries;29;1;2019;['ClimateChange', 'fisheries'];[];Not Rappaport;Eugene, Oregon;1014;980;None;['climatechange', 'climat', 'climate']
1090151437919604736;en;0;True;#climatechange (the correct term) means #extremeweather either way. Wherever there is extreme weather in one place,… https://t.co/AzJzf1iveR;29;1;2019;['climatechange', 'extremeweather'];[];sherrie miranda;Chula Vista, CA;24566;31246;None;['climatechange', 'climat', 'climate']
1090151328041627648;hi;0;True;"पर्यावरण लेख (जल प्रबन्धन)

जल प्रबन्धन की पारम्परिक तरीकों की उपेक्षा के परिणाम-Case Studies 

क्लिक करें-… https://t.co/qgkvYEFquv";29;1;2019;[];[];Civilhindipedia;New Delhi, India;45;291;None;[]
1090151270428614658;en;0;True;Talent: 10 year old Austin Nyamu found his passion in drawing especially in doing portraits and cartoons… https://t.co/GPmajqY5ve;29;1;2019;[];[];Kenya Climate Change Art and Essay Competition;Nairobi, Kenya;290;215;None;[]
1090151221384622080;fr;0;True;D’une géopolitique du pétrole à une géopolitique des énergies renouvelables #transition #transitionénergétique… https://t.co/EdLmODCCak;29;1;2019;['transition', 'transitionénergétique'];[];AREC Occitanie;TOULOUSE;2524;519;None;[]
